d w z q
31 533 1 8
31 533 1 8
31 532 51 0
31 2598 1 8
31 472 1 8
32 305 51 0
32 305 51 0
32 305 51 0
32 3514 51 0
32 377 16 0
32 377 51 0
32 191 1 8
32 497 51 0
32 497 51 0
32 2297 18 0
32 104 1 8
32 1682 1 8
32 1682 1 8
32 2190 1 8
32 2190 51 0
32 3211 18 0
32 78 16 0
32 1300 1 8
33 170 17 1
33 3190 17 1
33 305 51 0
33 305 51 0
33 305 51 0
33 3514 51 0
33 856 17 1
33 856 16 0
33 20 51 0
33 1751 51 0
33 3757 2 8
33 3757 2 8
33 3755 2 8
33 31 51 0
33 31 16 0
33 1150 2 8
33 2267 17 1
33 866 51 0
33 1620 51 0
33 2748 16 0
34 305 51 0
34 305 51 0
34 305 51 0
34 305 51 0
34 305 51 0
34 3514 51 0
34 3514 51 0
34 497 51 0
34 672 29 5
34 2397 53 3
34 2397 51 0
34 564 16 0
34 565 28 5
35 3190 17 1
35 3190 17 1
35 3190 17 1
35 305 51 0
35 305 51 0
35 305 51 0
35 305 51 0
35 3514 51 0
35 3514 51 0
35 3514 51 0
35 3514 51 0
35 856 51 0
35 1333 51 0
35 699 51 0
35 1919 51 0
35 2753 17 1
35 2753 17 1
35 2753 17 1
35 2090 51 0
35 2082 17 1
36 3190 17 1
36 3190 17 1
36 3190 17 1
36 305 51 0
36 305 51 0
36 305 51 0
36 305 51 0
36 3514 51 0
36 3514 51 0
36 3514 51 0
36 1919 51 0
36 2915 49 3
36 2753 17 1
36 2753 17 1
36 2753 17 1
36 3702 49 3
36 3308 26 2
36 3410 17 1
36 586 17 1
36 3199 10 2
36 989 51 0
36 2859 17 1
36 291 17 1
36 1847 17 1
37 2092 16 0
37 2092 16 0
37 3190 17 1
37 3190 17 1
37 305 51 0
37 305 51 0
37 305 51 0
37 305 51 0
37 3514 51 0
37 3514 51 0
37 20 51 0
37 1167 16 0
37 512 51 0
37 512 51 0
37 2742 51 0
37 1306 51 0
37 1716 16 0
37 1125 16 0
37 1322 51 0
38 3619 9 1
38 1968 51 0
38 3294 51 0
38 3294 51 0
38 3294 51 0
38 2601 26 2
38 662 26 2
38 1704 9 1
38 659 35 2
39 3734 0 8
39 2361 51 0
39 875 51 0
39 1751 26 2
39 3294 51 0
39 2415 51 0
39 2415 51 0
39 2415 51 0
39 3818 0 8
39 1229 51 0
40 1751 51 0
40 1751 51 0
40 3070 51 0
40 3294 51 0
40 3294 51 0
40 1229 51 0
40 2323 51 0
40 2323 51 0
40 2323 51 0
40 2115 51 0
40 2115 51 0
40 802 51 0
40 2670 51 0
40 3502 51 0
41 3503 16 0
41 794 18 0
41 699 51 0
41 3757 2 8
41 3757 2 8
41 3755 2 8
41 1150 2 8
41 3294 51 0
41 3294 51 0
41 3294 51 0
41 3294 51 0
41 1229 51 0
41 1229 51 0
41 1229 51 0
41 2115 51 0
41 3108 51 0
41 2314 51 0
41 2475 18 0
41 1269 18 0
41 424 51 0
41 3505 51 0
42 3757 2 8
42 3757 2 8
42 3755 2 8
42 1150 2 8
42 3294 51 0
42 3294 51 0
42 3294 51 0
42 3294 51 0
42 3294 51 0
42 1229 51 0
42 1229 51 0
42 1229 51 0
42 1229 51 0
42 1229 51 0
42 2039 51 0
42 2039 51 0
42 2039 2 8
42 2039 2 8
42 1159 44 7
42 1398 51 0
42 3786 51 0
43 3734 16 0
43 2590 51 0
43 2590 51 0
43 875 33 0
43 1300 16 0
43 3294 51 0
43 3294 51 0
43 3294 51 0
43 3294 51 0
43 1229 51 0
43 1229 51 0
43 2115 33 0
43 2325 51 0
43 2825 51 0
43 2017 33 0
43 1187 33 0
43 2465 51 0
43 2465 51 0
43 3068 33 0
43 1725 33 0
44 3503 16 0
44 2190 16 0
44 3294 51 0
44 3294 51 0
44 3294 51 0
44 1229 51 0
44 2115 51 0
44 2118 51 0
44 3673 9 1
44 1631 51 0
44 1438 15 7
44 385 51 0
44 1429 51 0
44 657 16 0
44 1177 51 0
44 708 47 7
45 2361 48 6
45 1751 51 0
45 3070 48 6
45 3294 51 0
45 1229 51 0
45 1229 51 0
45 1229 51 0
45 3823 48 6
45 3823 48 6
45 2783 11 3
45 3279 51 0
45 2451 48 6
45 2326 44 7
46 3503 16 0
46 699 16 0
46 1751 51 0
46 1300 51 0
46 1847 16 0
46 1847 16 0
46 3294 51 0
46 3294 51 0
46 1229 51 0
46 1229 51 0
46 1429 51 0
46 2783 51 0
46 577 51 0
46 2014 16 0
46 2179 11 3
46 499 51 0
46 2456 16 0
47 1168 26 2
47 1168 26 2
47 3294 51 0
47 3294 51 0
47 3294 51 0
47 1229 51 0
47 1229 51 0
47 2115 51 0
47 2115 51 0
47 3673 26 2
47 1629 0 8
47 1629 0 8
47 2693 0 8
47 453 51 0
47 3073 51 0
47 1626 51 0
47 1295 0 8
47 2292 0 8
47 3270 0 8
48 224 10 2
48 3294 51 0
48 3294 51 0
48 3294 51 0
48 3294 51 0
48 3294 51 0
48 1229 51 0
48 1229 51 0
48 1229 51 0
48 1229 51 0
48 1229 51 0
48 1229 51 0
48 3807 51 0
48 3155 51 0
48 3366 11 3
48 1436 51 0
48 263 51 0
49 856 16 0
49 1333 51 0
49 1751 51 0
49 3294 51 0
49 3294 51 0
49 1229 51 0
49 1229 51 0
49 398 31 3
49 398 51 0
50 728 13 5
50 3294 51 0
50 3294 51 0
50 1229 51 0
50 1229 51 0
50 1229 51 0
50 2878 51 0
50 1427 1 8
50 786 1 8
51 2361 51 0
51 699 51 0
51 1751 51 0
51 3294 51 0
51 3294 51 0
51 1229 51 0
51 2115 51 0
51 424 51 0
51 2783 51 0
51 3279 51 0
51 2014 51 0
51 1859 51 0
51 192 51 0
51 157 51 0
51 1584 51 0
52 3092 16 0
52 3092 16 0
52 1125 1 8
52 3635 1 8
52 3635 1 8
52 1126 1 8
52 1126 1 8
52 1227 1 8
52 230 1 8
52 3013 1 8
52 3013 1 8
52 278 1 8
52 1889 1 8
53 2361 47 7
53 1751 51 0
53 1820 51 0
53 3294 51 0
53 1229 51 0
53 388 47 7
53 1516 68 6
53 1092 33 0
53 2872 46 6
53 1995 43 5
53 62 45 6
54 2923 51 0
54 875 51 0
54 1751 51 0
54 1751 51 0
54 3070 51 0
54 3070 51 0
54 1820 51 0
54 3294 51 0
54 3294 51 0
54 3294 51 0
54 1229 51 0
54 1229 51 0
54 2115 51 0
54 2115 51 0
54 3108 51 0
54 2825 51 0
54 264 51 0
54 264 51 0
54 2716 51 0
54 3482 51 0
55 1751 51 0
55 3294 51 0
55 3294 51 0
55 3294 51 0
55 1229 51 0
55 1229 51 0
55 2115 51 0
55 3108 51 0
55 2039 51 0
55 2039 51 0
55 1631 51 0
56 699 51 0
56 1751 51 0
56 1820 51 0
56 3294 51 0
56 1229 51 0
56 2115 51 0
56 1725 51 0
56 3279 51 0
56 716 51 0
56 135 51 0
56 3333 51 0
56 1382 51 0
57 77 27 7
57 3356 39 0
57 3070 51 0
57 3211 27 7
57 3294 51 0
57 1229 51 0
57 2115 51 0
57 2115 51 0
57 3786 27 7
57 1436 51 0
57 1966 16 0
57 764 39 0
58 2659 46 6
58 3294 51 0
58 3294 51 0
58 1229 51 0
58 2115 51 0
58 1438 15 7
58 3712 34 7
58 2692 31 3
58 2658 46 6
58 2658 46 6
58 1932 22 6
59 2361 51 0
59 1751 20 1
59 1751 51 0
59 3294 51 0
59 1229 51 0
59 2115 51 0
59 2115 51 0
59 1429 51 0
59 1835 17 1
60 1751 51 0
60 1751 16 0
60 3070 51 0
60 3294 51 0
60 1229 51 0
60 2115 51 0
60 2326 51 0
60 1727 51 0
60 1727 51 0
60 1727 51 0
60 1527 51 0
61 305 51 0
61 305 51 0
61 305 51 0
61 3294 51 0
61 3294 51 0
61 3294 51 0
61 3294 51 0
61 1229 51 0
61 1229 51 0
61 1229 51 0
61 1229 51 0
61 1200 51 0
61 2019 51 0
61 1543 51 0
61 2392 51 0
61 2440 51 0
62 3294 51 0
62 3294 51 0
62 1229 51 0
62 1229 51 0
62 2115 51 0
62 2716 51 0
62 2667 2 8
62 1559 14 6
62 1622 12 4
63 3503 51 0
63 3092 51 0
63 2677 16 0
63 3070 51 0
63 1820 51 0
63 1229 51 0
63 1229 51 0
63 1436 51 0
63 1636 4 8
63 1636 4 8
63 1933 4 8
63 1933 4 8
64 699 51 0
64 1751 51 0
64 3294 51 0
64 3294 51 0
64 1229 51 0
64 1229 51 0
64 2825 51 0
64 157 51 0
64 566 51 0
64 155 16 0
64 2901 51 0
65 699 51 0
65 3294 51 0
65 3294 51 0
65 3294 51 0
65 1229 51 0
65 1229 51 0
65 1229 51 0
65 2115 51 0
65 3068 33 0
65 2014 51 0
65 842 51 0
65 842 51 0
65 3261 51 0
66 699 8 0
66 3410 8 0
66 3294 51 0
66 3294 51 0
66 3294 51 0
66 1229 51 0
66 1229 51 0
66 1229 51 0
66 2451 48 6
66 2326 14 6
66 2326 51 0
66 263 14 6
66 263 14 6
66 263 14 6
66 2174 48 6
67 3092 51 0
67 3294 51 0
67 3294 51 0
67 1229 51 0
67 1229 51 0
67 1229 51 0
67 2325 16 0
67 1631 51 0
67 2326 39 0
67 2772 51 0
68 494 12 4
68 494 12 4
68 453 42 4
68 453 42 4
68 453 42 4
68 3073 42 4
68 3073 42 4
68 1126 24 4
68 1126 42 4
68 1086 42 4
68 1086 42 4
68 167 42 4
68 167 42 4
68 660 42 4
68 660 42 4
68 633 42 4
68 3137 0 8
69 1631 1 8
69 1631 1 8
69 1631 1 8
69 1631 1 8
69 1631 1 8
69 1631 1 8
69 453 1 8
69 3073 1 8
69 455 1 8
69 455 1 8
69 455 1 8
69 455 1 8
69 3075 1 8
69 3075 1 8
69 3075 1 8
69 3075 1 8
69 1201 1 8
69 756 1 8
69 3208 1 8
70 1086 42 4
70 1086 42 4
70 1086 42 4
70 455 42 4
70 455 0 8
70 3075 42 4
70 3075 42 4
70 3075 42 4
70 128 0 8
70 128 0 8
70 128 0 8
70 3169 21 4
70 3169 42 4
70 3169 42 4
70 3724 0 8
70 393 0 8
71 1086 42 4
71 1086 42 4
71 455 0 8
71 455 0 8
71 455 1 8
71 3075 1 8
71 3075 1 8
71 3075 42 4
71 128 0 8
71 128 0 8
71 128 0 8
71 393 0 8
71 661 0 8
71 661 0 8
71 1554 16 0
71 1554 0 8
72 449 16 0
72 2923 16 0
72 2017 1 8
72 2456 16 0
72 453 1 8
72 3073 16 0
72 455 16 0
72 3075 1 8
72 369 16 0
72 234 16 0
73 453 1 8
73 3073 1 8
73 455 1 8
73 3075 1 8
73 2470 1 8
73 515 1 8
73 560 1 8
73 560 1 8
73 560 1 8
73 2565 1 8
73 2521 1 8
73 2117 1 8
74 1961 16 0
74 449 16 0
74 449 16 0
74 217 16 0
74 217 16 0
74 217 16 0
74 217 16 0
74 1767 16 0
74 453 16 0
74 3073 16 0
74 455 16 0
74 455 16 0
74 3075 16 0
74 3075 16 0
74 1553 16 0
74 2736 16 0
75 494 12 4
75 2677 1 8
75 2677 1 8
75 1631 1 8
75 453 1 8
75 3073 1 8
75 263 39 0
75 1126 1 8
75 455 1 8
75 3075 1 8
75 3507 51 0
75 3507 51 0
75 2444 1 8
75 386 1 8
75 1434 51 0
75 1037 1 8
75 1780 21 4
75 3437 1 8
76 1891 49 3
76 1631 1 8
76 1631 1 8
76 1631 1 8
76 1631 1 8
76 1631 1 8
76 455 1 8
76 455 1 8
76 455 1 8
76 3075 1 8
76 3075 1 8
76 3075 1 8
76 1201 1 8
76 2279 1 8
76 2279 1 8
76 2840 39 0
76 2840 39 0
76 61 1 8
76 703 1 8
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 494 12 4
77 2915 11 3
77 3057 11 3
77 453 12 4
77 453 12 4
77 3073 12 4
77 3073 12 4
77 2716 12 4
77 3009 12 4
77 884 12 4
77 2946 12 4
77 702 12 4
78 1751 1 8
78 1725 51 0
78 1631 1 8
78 1631 33 0
78 1631 1 8
78 1631 1 8
78 455 1 8
78 3075 1 8
78 61 1 8
78 980 1 8
78 1512 11 3
78 695 33 0
78 2763 1 8
78 2763 11 3
78 454 16 0
78 3074 1 8
78 3109 25 1
78 2499 1 8
78 440 1 8
78 2251 1 8
79 1891 49 3
79 1820 51 0
79 1631 1 8
79 1631 31 3
79 1631 1 8
79 1631 1 8
79 1631 1 8
79 455 1 8
79 455 1 8
79 455 1 8
79 3075 1 8
79 3075 1 8
79 3075 1 8
79 1201 1 8
79 1201 1 8
79 3380 1 8
79 3380 1 8
79 3380 51 0
80 449 16 0
80 449 16 0
80 449 16 0
80 449 16 0
80 449 16 0
80 2923 16 0
80 2923 16 0
80 453 16 0
80 453 16 0
80 3073 16 0
80 3073 16 0
80 3482 16 0
80 455 16 0
80 3075 16 0
80 535 16 0
80 2498 16 0
80 1794 16 0
80 876 16 0
81 449 16 0
81 449 16 0
81 449 16 0
81 449 16 0
81 449 16 0
81 3198 16 0
81 455 16 0
81 455 16 0
81 455 16 0
81 3075 16 0
81 454 16 0
81 3074 16 0
81 876 16 0
81 113 16 0
81 113 16 0
81 16 16 0
81 1801 16 0
81 3377 16 0
82 1586 13 5
82 1300 1 8
82 1300 1 8
82 1631 1 8
82 1631 1 8
82 1631 1 8
82 455 1 8
82 455 1 8
82 3075 1 8
82 393 0 8
82 440 1 8
82 179 1 8
82 2554 1 8
82 1022 1 8
82 3067 13 5
82 518 1 8
82 3423 1 8
82 2026 13 5
82 2026 13 5
82 2026 13 5
82 1371 1 8
82 3322 1 8
82 1289 0 8
82 2580 13 5
83 494 12 4
83 494 12 4
83 217 24 4
83 217 1 8
83 1086 42 4
83 1086 42 4
83 455 42 4
83 455 42 4
83 3075 1 8
83 3075 1 8
83 3075 42 4
83 3075 1 8
83 61 1 8
83 3471 16 0
83 1879 1 8
83 1132 1 8
83 3789 16 0
84 453 1 8
84 453 1 8
84 453 1 8
84 3073 1 8
84 3073 1 8
84 3073 1 8
84 455 1 8
84 3075 1 8
84 3208 1 8
84 386 1 8
84 386 1 8
84 386 26 2
84 386 1 8
84 386 1 8
84 386 1 8
84 1801 1 8
85 3092 16 0
85 1682 1 8
85 1631 1 8
85 455 1 8
85 455 1 8
85 3075 1 8
85 3075 1 8
85 1512 14 6
85 2781 51 0
85 3131 1 8
85 3633 1 8
85 2630 1 8
85 3470 1 8
85 3470 1 8
86 453 1 8
86 3073 1 8
86 3073 1 8
86 3009 1 8
86 454 1 8
86 2498 1 8
86 2498 1 8
86 3470 1 8
86 3470 1 8
86 3470 1 8
86 3470 1 8
86 3470 1 8
86 3470 1 8
86 3470 1 8
86 2895 1 8
86 2895 1 8
86 2895 1 8
86 2894 1 8
86 2894 1 8
86 59 1 8
86 260 1 8
87 1725 0 8
87 453 1 8
87 453 1 8
87 453 42 4
87 3073 1 8
87 3073 1 8
87 3073 1 8
87 1571 1 8
87 1571 1 8
87 1395 1 8
87 1853 42 4
87 1853 42 4
87 3381 0 8
87 3381 0 8
87 3473 0 8
87 3473 0 8
87 3122 1 8
88 1961 16 0
88 1961 16 0
88 1961 16 0
88 449 16 0
88 1978 16 0
88 1978 16 0
88 1751 16 0
88 1751 16 0
88 1631 16 0
88 1631 16 0
88 1631 1 8
88 453 1 8
88 453 1 8
88 453 16 0
88 3073 1 8
88 3073 16 0
88 3073 1 8
88 1201 1 8
88 2846 1 8
88 1963 16 0
88 1963 16 0
88 3799 16 0
89 494 12 4
89 494 12 4
89 494 12 4
89 494 12 4
89 271 12 4
89 271 12 4
89 3540 12 4
89 2825 12 4
89 2825 12 4
89 2825 24 4
89 453 12 4
89 2716 12 4
89 2716 12 4
89 2716 12 4
89 884 12 4
89 2946 12 4
89 2946 12 4
89 2618 26 2
89 277 12 4
90 2923 16 0
90 3108 18 0
90 453 1 8
90 453 16 0
90 453 1 8
90 3073 1 8
90 3073 1 8
90 455 1 8
90 3075 1 8
90 3075 1 8
90 3009 1 8
90 3470 1 8
90 3470 1 8
90 3470 1 8
90 3470 1 8
90 3470 1 8
90 3470 1 8
91 2869 1 8
91 453 1 8
91 453 1 8
91 3073 1 8
91 3073 1 8
91 2716 1 8
91 3473 1 8
91 665 1 8
91 3435 1 8
91 3435 1 8
91 3435 1 8
91 2933 1 8
91 568 1 8
92 449 16 0
92 449 16 0
92 424 51 0
92 453 16 0
92 3073 16 0
92 455 16 0
92 3075 16 0
92 3208 16 0
92 2444 39 0
92 2444 51 0
92 2498 16 0
92 2829 36 2
92 2829 11 3
92 3278 40 2
92 3278 16 0
93 449 16 0
93 449 16 0
93 449 16 0
93 2923 16 0
93 2923 16 0
93 453 16 0
93 3073 16 0
93 455 16 0
93 3075 16 0
93 535 16 0
94 1438 15 7
94 453 34 7
94 3073 42 4
94 1086 42 4
94 393 42 4
94 524 42 4
94 1072 42 4
94 3661 15 7
95 1781 1 8
95 2017 1 8
95 1631 1 8
95 1631 1 8
95 1631 1 8
95 453 1 8
95 455 1 8
95 455 1 8
95 3075 1 8
95 3075 1 8
95 1201 1 8
95 1201 1 8
95 1201 1 8
95 3471 1 8
95 2895 1 8
95 2895 1 8
95 2847 1 8
95 2298 1 8
95 2298 1 8
95 2298 1 8
95 2298 1 8
95 2249 1 8
95 1251 1 8
95 1652 14 6
95 1652 1 8
96 1631 1 8
96 455 1 8
96 3075 1 8
96 1201 1 8
96 2736 46 6
96 3377 14 6
96 539 14 6
96 539 14 6
96 539 14 6
96 2746 17 1
96 1970 1 8
97 2750 1 8
97 453 1 8
97 3073 1 8
97 2117 1 8
97 2696 1 8
97 1042 1 8
97 1042 1 8
97 1042 1 8
97 1042 1 8
97 1341 1 8
97 1465 1 8
98 271 12 4
98 271 12 4
98 305 51 0
98 2742 51 0
98 1751 51 0
98 497 51 0
98 2825 51 0
98 1187 51 0
98 1631 51 0
98 1631 51 0
98 1631 24 4
98 756 51 0
98 2279 51 0
98 2279 51 0
98 2840 51 0
98 2840 51 0
98 2840 51 0
98 2840 51 0
98 702 12 4
98 524 2 8
98 2029 51 0
98 2029 51 0
98 2029 51 0
98 2029 51 0
98 2029 51 0
98 825 51 0
98 825 51 0
98 2421 51 0
99 449 16 0
99 305 51 0
99 305 51 0
99 2855 16 0
99 2630 51 0
99 2029 51 0
99 825 51 0
99 2633 16 0
99 561 35 2
99 561 0 8
100 3092 51 0
100 3578 31 3
100 1107 31 3
100 305 51 0
100 306 51 0
100 20 51 0
100 1917 16 0
100 1751 51 0
100 535 31 3
100 665 31 3
100 665 31 3
100 2029 51 0
100 2029 51 0
100 2029 51 0
100 2029 51 0
100 3317 31 3
100 3317 31 3
100 3317 31 3
100 3317 31 3
100 3317 31 3
100 995 51 0
100 938 51 0
101 3092 33 0
101 305 51 0
101 3786 33 0
102 305 51 0
102 305 51 0
102 1751 33 0
102 2783 51 0
102 2901 51 0
102 2901 33 0
102 2117 51 0
102 2029 51 0
102 2029 51 0
102 2029 51 0
102 3736 51 0
102 910 51 0
102 24 51 0
103 3092 16 0
103 305 51 0
103 306 51 0
103 1333 51 0
103 1631 51 0
103 2029 51 0
103 1303 51 0
103 1776 51 0
103 1696 19 7
103 3772 51 0
104 449 16 0
104 305 51 0
104 305 51 0
104 305 51 0
104 2029 51 0
104 2029 51 0
104 2029 51 0
104 2029 51 0
104 3551 13 5
105 1107 31 3
105 305 51 0
105 305 51 0
105 130 31 3
105 130 51 0
105 1332 51 0
105 497 51 0
105 3482 51 0
105 535 31 3
105 535 31 3
105 2029 51 0
105 825 51 0
105 2633 51 0
105 3317 31 3
105 3317 31 3
105 3317 31 3
105 1303 51 0
105 2496 51 0
105 1598 51 0
106 3578 31 3
106 3578 31 3
106 305 33 0
106 130 31 3
106 1333 51 0
106 1978 51 0
106 1725 31 3
106 2029 51 0
106 2029 51 0
106 2029 51 0
106 3317 31 3
106 3317 31 3
106 3421 31 3
106 1522 31 3
106 1522 31 3
106 1441 31 3
106 89 31 3
106 2167 31 3
107 305 51 0
107 305 51 0
107 305 51 0
107 1631 1 8
107 1631 1 8
107 2029 51 0
107 2029 51 0
107 1303 14 6
107 1303 1 8
107 3062 1 8
107 3062 1 8
107 3062 1 8
